geoid20,tractname,HA_Conservation,HA_Urban,HA_Agriculture,HA_Unclassified,PCT_Conservation,PCT_Urban,PCT_Agriculture,PCT_Unclassified
15003006704,Moanalua Valley,6.05175639313e-4,11.088719794379196,0,0,0.005457281043784,99.99454109287377,0,0
15003006806,Ala Lilikoi,0,51.91558111339205,0,0,0,100.00000000023405,0,0
15003006810,Aliamanu Makai,14.02858735584925,93.06114265708173,0,0,13.09984382203136,86.90015635817034,0,0
15003006811,Aliamanu Mauka,13.366124188994313,45.69482369187778,0,0,22.63106892031193,77.36892831834426,0,0
15003006813,Honolulu Country Club,41.517519893216885,26.456239828760825,0,0,61.07575525781963,38.91934857813052,0,0
15003006814,Ala Ilima Street-Ala Lilikoi Street,0,6.226362376639871,0,0,0,100.00000543959537,0,0
15003006816,Likini Street-Aila Street,0,22.611260978309325,0,0,0,99.99999999955487,0,0
15003006817,Likini Street-Maluna Street,0.250603126169238,49.528229247220125,0,0,0.503433119344138,99.49656784680711,0,0
15003006818,Hoa Aloha Neighborhood Park,0,8.267638729147025,0,0,0,99.99999999987133,0,0
15003006819,Likini Street-Ala Nani Street,0,1.031615705345792,0,0,0,99.99995293018173,0,0
15003006900,Arizona Road,0,7.771245721923978,0,0,0,99.99999860271215,0,0
15003007001,Navy Exchange Mall,0,146.02014846598618,0,0,0,100.00000000000338,0,0
15003007002,Aliamanu Middle & Elementary School,0,161.73971838355465,0,0,0,99.99999935721222,0,0
15003007100,Nimitz Elementary School,0,133.66549692208653,0,0,0,100.00000000019644,0,0
15003007302,Hangar Avenue-Vickers Avenue,0,300.199273360517,0,0,0,99.95478048125155,0,0
15003007400,Ford Island,41.77168609324732,709.4578804845058,0,0,5.52796892146333,93.88802514820175,0,0
15003007504,Aloha Stadium,0.02116796766037,117.08455506451094,0,0,0.01807594633846,99.98192402621778,0,0
15003007507,Camp H.M. Smith,15.443951516849673,412.0899875123064,0,0,3.612333534818773,96.38766863711355,0,0
15003007508,Stadium Mall,0.259616208750451,213.44331334564225,0,0,0.121484627993349,99.87851546044138,0,0
15003007701,Lower Aiea,1.404822827149251,134.0627988843952,0,0,1.032926239986278,98.57256025281177,0,0
15003007702,Aiea Heights,38.25715524715832,224.9825314337461,0,0,14.5332021045481,85.46679903917706,0,0
15003007804,Lower Pearl City,0,49.40237819553166,0,0,0,100.00000000018272,0,0
15003007807,Pearl Ridge High Rise,0,38.511775739902134,0,0,0,99.99999999967986,0,0
15003007808,Pearlridge Center,0,111.69111214691824,4.693676775908469,0,0,94.75493050374227,3.981955306553078,0
