geoid20,tractname,HA_Unclassified,HA_Urban,HA_Conservation,HA_Agriculture,HA_NA,HA_,PCT_Unclassified,PCT_Urban,PCT_Conservation,PCT_Agriculture,PCT_NA,PCT_
15003006704,Moanalua Valley,0.633721803650948,10.455604210343056,0,0,0,0,5.714701256022898,94.28530653213295,0,0,0,0
15003006806,Ala Lilikoi,51.150755501243296,0.764825578525355,0,0,0,0,98.52678984685058,1.473210088617987,0,0,0,0
15003006810,Aliamanu Makai,2.629251499111002,104.46047798891776,0,0,0,0,2.455185481867849,97.54481420818206,0,0,0,0
15003006811,Aliamanu Mauka,0.06256282865956,58.998388328324715,0,0,0,0,0.10592926320481,99.89407352245361,0,0,0,0
15003006813,Honolulu Country Club,65.58863919115076,2.388448537467664,0,0,0,0,96.4863914134389,3.513608199513513,0,0,0,0
15003006814,Ala Ilima Street-Ala Lilikoi Street,6.008525419385254,0.217835963483762,0,0,0,0,96.5013820712969,3.498607407600244,0,0,0,0
15003006816,Likini Street-Aila Street,21.1635431761306,1.44771807061336,0,0,0,0,93.59735928190072,6.402641904826504,0,0,0,0
15003006817,Likini Street-Maluna Street,46.02553480285095,3.753297785696458,0,0,0,0,92.46005390863976,7.539947489739471,0,0,0,0
15003006818,Hoa Aloha Neighborhood Park,8.267638729147025,0,0,0,0,0,99.99999999987133,0,0,0,0,0
15003006819,Likini Street-Ala Nani Street,1.031615908908175,0,0,0,0,0,99.99997266255747,0,0,0,0,0
15003006900,Arizona Road,0.07351820415245,7.697722413057941,0,0,0,0,0.946028548779281,99.05390436673551,0,0,0,0
15003007001,Navy Exchange Mall,1.538099162939334,144.4820494241767,0,0,0,0,1.053347212078523,98.94665287087905,0,0,0,0
15003007002,Aliamanu Middle & Elementary School,0.051526116904771,161.68819131053021,0,0,0,0,0.031857429386254,99.96814133667887,0,0,0,0
15003007100,Nimitz Elementary School,0,133.66549692208653,0,0,0,0,0,100.00000000019644,0,0,0,0
15003007302,Hangar Avenue-Vickers Avenue,0.006572658294987,300.32851390448275,0,0,0,0,0.00218844172972,99.99781259807436,0,0,0,0
15003007400,Ford Island,28.845343985189302,726.7972426553922,0,0,0,0,3.817326519286059,96.18267648175548,0,0,0,0
15003007504,Aloha Stadium,57.33161448931815,59.77410859776619,0,0,0,0,48.95714145228756,51.04285856716052,0,0,0,0
15003007507,Camp H.M. Smith,303.7178297792739,108.97430649938788,14.841792299636069,0,0,0,71.03946813333745,25.489042838024723,3.471488756118986,0,0,0
15003007508,Stadium Mall,167.41190755626567,46.29102177367131,0,0,0,0,78.33861147968281,21.66138850372027,0,0,0,0
15003007701,Lower Aiea,22.57354200096559,113.43063144766768,0,0,0,0,16.597682933118005,83.40231478033975,0,0,0,0
15003007702,Aiea Heights,259.7980902955042,3.441588616642815,0,0,0,0,98.69260085459838,1.307397337916215,0,0,0,0
15003007804,Lower Pearl City,49.40237819553166,0,0,0,0,0,100.00000000018272,0,0,0,0,0
15003007807,Pearl Ridge High Rise,38.511775739902134,0,0,0,0,0,99.99999999967986,0,0,0,0,0
15003007808,Pearlridge Center,117.85705790583432,0.016608006196457,0,0,0,0,99.98590860616649,0.014089666068335,0,0,0,0
15003007809,Newtown,197.33735385878276,0,0,0,0,0,99.99999873700341,0,0,0,0,0
15003007812,Newtown Neighborhood Park,79.3918217069666,0,0,0,0,0,100.00000000008438,0,0,0,0,0
15003007813,Waiau Elementary School,56.76886389545571,0,0,0,0,0,99.99999999990682,0,0,0,0,0
15003007814,Nahele Neighborhood Park,140.8333242315539,0,0,0,0,0,99.99999886091501,0,0,0,0,0
15003007815,Pearl City High School,124.09653663842106,0,0,0,0,0,100.00000241736106,0,0,0,0,0
15003007816,Kaonohi Street,235.47996464946488,0,0,0,0,0,100.00000168801412,0,0,0,0,0
15003007817,Pono Street,81.87774465923506,0,0,0,0,0,100.0000000003443,0,0,0,0,0
15003008001,Hale Mohalu Hospital,43.961331836630904,75.02936363488287,0,0,0,0,36.95255158040598,63.06738931537171,0,0,0,0
15003008002,Lower Waiau,92.4547561201167,41.64825726371172,0,0,0,0,68.94308635606473,31.05691386369808,0,0,0,0
15003008005,Pacific Palisades,21.780778425911617,0,0,0,0,0,100.0000000898944,0,0,0,0,0
15003008008,Manana Housing,19.557919849362182,32.929082312713696,0,0,0,0,37.26240626615843,62.73759441488479,0,0,0,0
15003008009,Pearl Highlands Center,9.091783926703284,97.17090046958815,0,0,0,0,8.555951657945801,91.44404812954285,0,0,0,0
15003008010,Waimano Home Rd Hoomoana St,55.297363168637986,0,0,0,0,0,100.00000000001164,0,0,0,0,0
15003008011,Manana Elementary School,118.15597872230057,37.22396815998335,0,0,0,0,76.04326105483062,23.95673887090462,0,0,0,0
15003008012,Pearl City Highlands Elementary School,85.8830495242004,0,0,0,0,0,99.99999999988411,0,0,0,0,0
15003008013,Waimano Home Road-Komo Mai Drive,75.42341401881458,0,0,0,0,0,100.00000000000236,0,0,0,0,0
15003008301,Iroquois Point,33.03880645071504,1143.6241682030602,0,413.8371319034624,0,0,2.077259023284873,71.90343350296935,0,26.019309072171232,0,0
